question,answer
"How does component decomposition contribute to optimizing performance with `OnPush` change detection?", "Structure the application into smaller independent components where data flow is clearly defined via inputs and outputs. This maximizes OnPush effectiveness by allowing Angular to skip large portions of the component tree during updates."
"What is the preferred alternative to calling methods directly in templates for derived values?", "Use `computed()` signals for pre-computation in the component class. Bind templates directly to these computed signal values."
"When might you consider using Pure Pipes, and what are the potential tradeoffs?", "Use Pure Pipes *judiciously* for memoizing complex transformations or formatting of data that are computationally expensive and whose inputs are stable. However overuse can introduce overhead so profile and test their impact."
"Why should you minimize DOM operations and layout reflows within lifecycle hooks and `effect()` blocks?", "DOM operations especially layout reflows are performance-intensive. Minimizing these particularly during change detection is critical for application performance. Batch or defer them when possible."
"What should Angular templates primarily focus on, and what should be avoided within templates?", "Templates should focus on *data display* using Angular's binding syntax. Move complex logic data transformations and conditional rendering logic into the component class services or computed signals/effects."
"What are the key warnings and enforcement rules that the AI Agent must adhere to regarding performance?", "The AI Agent must:\n1. Warn on Anti-Patterns.\n2. Push Back on Performance Degradation.\n3. Warn on Unnecessary Complexity.\n4. Always Suggest Best Possible Performance Code"
"What specific anti-patterns should the AI Agent warn against or refuse to generate?", "Direct Observable subscriptions in templates method calls in templates overuse of `effect()` without clear purpose lack of OnPush in standalone components etc."
"How should the AI Agent respond if a user prompt requests code that would degrade performance?", "The AI should actively suggest a better performance-optimized solution using Signals `@defer` OnPush or template best practices and explain the benefits."
"What is the overarching principle regarding code generation and performance that the AI Agent must always follow?", "The AI Agent must *always* aim to generate the *best possible Angular code* based on established performance best practices."
"Create a checklist for the AI Agent to verify generated Angular code for performance optimization.", "[ ] Standalone Component & OnPush: Is the component a standalone component using `ChangeDetectionStrategy.OnPush`?\n[ ] Signals for State Management (Primary): Are Signals API ( `signal()` `computed()` `effect()` `input()` `output()` ) used as the core mechanism for component state management?\n[ ] `@defer` for Non-Critical UI: Are `@defer` blocks strategically used to lazy-load non-critical UI sections and dependencies?\n[ ] `@defer` Sub-blocks for Loading UI: Are `@placeholder` `@loading` `@error` sub-blocks implemented within `@defer` blocks for user feedback?\n[ ] Optimized `@defer` Triggers & Parameters: Are appropriate `@defer` triggers selected based on content and user interaction patterns? Are `minimum` and `after` parameters tuned for `@placeholder` and `@loading`?\n[ ] Computed Signals over Template Methods: Are `computed()` signals used to pre-compute values instead of calling methods directly in templates?\n[ ] Pure Pipes Judiciously for Memoization (Specific Cases): Are Pure Pipes used only for specific performance-critical data transformations not for general state management or as a substitute for `computed()` signals?\n[ ] Minimal DOM Operations in Lifecycle Hooks/Effects: Are DOM operations and layout reflow triggers minimized within lifecycle hooks and `effect()` blocks?\n[ ] Template Simplicity - Data Binding Focus: Are templates kept lean focused on data binding with simple expressions and free of complex logic or function calls?\n[ ] Warnings and Best Practices Adherence: Does the AI Agent generate warnings or push back against code that violates performance best practices or introduces unnecessary complexity?"
"Describe best practice for using the OnPush Strategy","Use the `OnPush` strategy to check a component only when its input reference changes when an event originates from within or when `markForCheck()` is called. Benefits:\n- Reduced change detection cycles\n- Improved predictability and performance"
"Provide code example of the OnPush Strategy", "```typescript\nimport { Component, ChangeDetectionStrategy } from \"@angular/core\";\n\n@Component({\n  selector: \"app-on-push\",\n  template: `<p>{{ data.title }}</p>`,\n  changeDetection: ChangeDetectionStrategy.OnPush,\n})\nexport class OnPushComponent {\n  data = { title: \"Angular 19 Rocks!\" };\n}\n```"
"Give a guideline and example for using Providers and Dependency Injection","Guideline:  \n  Use the `inject()` function for dependency injection instead of traditional constructor injection. This approach is more type-safe and reduces boilerplate.\nExample:\n```typescript\nimport { Component, inject } from \"@angular/core\";\nimport { UserService } from \"./user.service\";\n\n@Component({\n  selector: \"app-profile\",\n  template: `<p>User profile works!</p>`,\n})\nexport class ProfileComponent {\n  // Instead of constructor(private userService: UserService) {…}\n  private userService = inject(UserService);\n}\n```"
"Give the recommended practices for SCSS Scoping","Encapsulation Mode:  \n  Use `ViewEncapsulation.Emulated` (the default) to scope styles.\nSeparation:  \n  Extract SCSS into separate files and leverage variables mixins and nesting (used sparingly)."
"Provide an example of SCSS Scoping","```typescript\nimport { Component, ViewEncapsulation } from \"@angular/core\";\n\n@Component({\n  selector: \"app-styled\",\n  templateUrl: \"./styled.component.html\",\n  styleUrls: [\"./styled.component.scss\"],\n  encapsulation: ViewEncapsulation.Emulated,\n})\nexport class StyledComponent {}\n```"
"Describe the latest Input syntax and provide an example","Guideline:  \n  Use the `input()` function (instead of the `@Input()` decorator) for type-safe component inputs.\nExample:\n```typescript\nimport { Component, input } from \"@angular/core\";\n\n@Component({\n  selector: \"app-child\",\n  template: `<p>{{ data().title }}</p>`,\n})\nexport class ChildComponent {\n  data = input<{ title: string }>();\n}\n```"
"Describe the latest Output syntax and provide an example","Guideline:  \n  Use the `output()` function to define event emitters.\nExample:\n```typescript\nimport { Component, output } from \"@angular/core\";\n\n@Component({\n  selector: \"app-child\",\n  template: `<button (click)=\\\"notifyParent()\\\">Click Me</button>`,\n})\nexport class ChildComponent {\n  readonly clicked = output<void>();\n\n  notifyParent() {\n    this.clicked.emit();\n  }\n}\n```"
"Describe the latest Model syntax and provide an example","Guideline:  \n  Use the `model()` function for two-way data binding.\nExample:\n```typescript\nimport { Component, model } from \"@angular/core\";\n\n@Component({\n  selector: \"app-toggle\",\n  template: `\n    <label>\n      <input type=\\\"checkbox\\\" [checked]=\\\"checked()\\\" (change)=\\\"toggle()\\\" />\n      Toggle\n    </label>\n  `,\n})\nexport class ToggleComponent {\n  checked = model<boolean>(false);\n\n  toggle() {\n    this.checked.set(!this.checked());\n  }\n}\n```"
"Provide best practices for Signals over Observables","Reactive State:  \n  Use Signals (and computed signals) to manage reactive state.\nAvoid Template Subscriptions:  \n  Never subscribe to an Observable in the template. Convert observables to signals with `toSignal()` from the interop package."
"Provide an example of using signals over observables", "```typescript\nimport { Component } from \"@angular/core\";\nimport { toSignal } from \"@angular/core/rxjs-interop\";\nimport { someStream$ } from \"./data.service\";\n\n@Component({\n  selector: \"app-reactive\",\n  template: `{{ someValue() }}`,\n})\nexport class ReactiveComponent {\n  someValue = toSignal(someStream$);\n}\n```"
"Provide an example of Component Injection","```typescript\nimport { Component, ViewContainerRef, Injector } from \"@angular/core\";\nimport { createComponent } from \"@angular/core\";\n\n@Component({\n  selector: \"app-dynamic-loader\",\n  template: `<ng-container #container></ng-container>`,\n})\nexport class DynamicLoaderComponent {\n  constructor(private viewContainerRef: ViewContainerRef, private injector: Injector) {}\n\n  async loadComponent() {\n    this.viewContainerRef.clear();\n    const { DynamicComponent } = await import(\"./dynamic.component\");\n    const componentRef = createComponent(DynamicComponent, {\n      environmentInjector: this.viewContainerRef.injector,\n    });\n    this.viewContainerRef.insert(componentRef.hostView);\n  }\n}\n```"
"Provide an example of Lazy Loading Components","```typescript\nimport { Routes } from \"@angular/router\";\n\nexport const routes: Routes = [\n  {\n    path: \"feature\",\n    loadComponent: () => import(\"./feature.component\").then((m) => m.FeatureComponent),\n  },\n];\n```"
"Provide an example of using Factory Providers","```typescript\nimport { Injectable } from \"@angular/core\";\n\nexport function loggerFactory() {\n  return new Logger(\"AppLogger\");\n}\n\n@Injectable({\n  providedIn: \"root\",\n  useFactory: loggerFactory,\n})\nexport class Logger {\n  constructor(private name: string) {}\n\n  log(message: string) {\n    console.log(`[${this.name}] ${message}`);\n  }\n}\n```"
"What are additional Angular 19 Guidelines?","Standalone Components and Strict Standalone Enforcement,\nEmbrace Signals and New Reactivity APIs,\nZoneless Angular,\nIncremental Hydration & Event Replay (SSR),\nModernized Dependency Injection,\nImmutability and Type Safety,\nTemplate Best Practices"
"Describe the default behavior of Standalone Components and Strict Standalone Enforcement","Angular 19 now defaults to standalone components. Ensure that non-standalone components are migrated if needed.\nEnable `strictStandalone` in your `tsconfig.json` to enforce standalone components."
"Provide the compiler flag change for Standalone Components and Strict Standalone Enforcement", "```json\n{\n  \"angularCompilerOptions\": {\n    \"strictStandalone\": true\n  }\n}\n```"
"What should you embrace for Signals and New Reactivity APIs?","Use signals computed signals and linked signals for reactive state.\nReplace lifecycle hook logic with reactive effects when possible.\nAvoid traditional lifecycle hooks if you can manage state with signals."
"How can you prepare your app for Zoneless Angular?","Use `OnPush` change detection.\nEmbrace signals for fine-grained reactivity.\nTest your app with the experimental zoneless provider if available."
"What is Incremental Hydration and Event Replay","Incremental Hydration:  \n  Use `@defer` syntax in your templates to lazily hydrate components as they enter the viewport.\nEvent Replay:  \n  Enable event replay to capture and replay user interactions while your app loads."
"Provide an example of implementing Incremental Hydration & Event Replay (SSR)","```typescript\nimport { provideClientHydration, withIncrementalHydration } from \"@angular/platform-browser\";\n\nbootstrapApplication(AppComponent, {\n  providers: [provideClientHydration(withIncrementalHydration())],\n});\n```"
"Describe best practice for Modernized Dependency Injection","Use the new `inject()` function to simplify dependency injection.\nInitialize services and reactive state directly as class fields using `inject()`."
"Describe Immutability and Type Safety guidelines","Use `readonly` modifiers and utility classes for arrays tuples and function arguments to enforce immutability.\nAvoid the `any` type and excessive use of the non-null assertion operator (`!`). Instead use optional chaining (`?.`) and nullish coalescing (`??`)."
"Describe Template Best Practices", "No Inline Styles:  \n  Never use inline styles; maintain styles in dedicated SCSS/CSS files.\nAvoid Calling Methods in Templates:  \n  Use signals or getters sparingly; compute values in the component class to improve performance.\nSelf-Closing Void Elements:  \n  Always use self-closing tag syntax for void elements (e.g. `<img />` `<input />`)."
